date,cases
2020-08-21,7
2020-08-22,1
2020-08-23,2
2020-08-24,2
2020-08-25,6
2020-08-26,11
2020-08-27,15
2020-08-28,9
2020-08-29,7
2020-08-30,8
2020-08-31,11
2020-09-01,15
2020-09-02,8
2020-09-03,6
2020-09-04,6
2020-09-05,7
2020-09-06,4
2020-09-07,8
2020-09-08,5
2020-09-09,9
2020-09-10,4
2020-09-11,8
2020-09-12,3
2020-09-13,4
2020-09-14,3
2020-09-15,3
2020-09-16,3
2020-09-17,2
2020-09-18,2
2020-09-19,1
2020-09-20,1
2020-09-21,0
2020-09-22,5
2020-09-23,2
2020-09-24,1
2020-09-25,1
2020-09-26,0
2020-09-27,0
2020-09-28,3
2020-09-29,2
2020-09-30,3
2020-10-01,2
2020-10-02,0
2020-10-03,1
2020-10-04,2
2020-10-05,3
2020-10-06,1
2020-10-07,15
2020-10-08,4
2020-10-09,3
2020-10-10,5
2020-10-11,3
2020-10-12,10
2020-10-13,12
2020-10-14,8
2020-10-15,2
2020-10-16,6
2020-10-17,4
2020-10-18,5
2020-10-19,7
2020-10-20,3
2020-10-21,4
2020-10-22,1
2020-10-23,4
2020-10-24,4
2020-10-25,2
2020-10-26,10
2020-10-27,2
2020-10-28,4
2020-10-29,7
2020-10-30,2
2020-10-31,3
2020-11-01,3
2020-11-02,2
2020-11-03,5
2020-11-04,1
2020-11-05,4
2020-11-06,2
2020-11-07,2
2020-11-08,1
2020-11-09,2
2020-11-10,0
2020-11-11,1
2020-11-12,0
2020-11-13,3
2020-11-14,4
2020-11-15,1
2020-11-16,1
2020-11-17,0
2020-11-18,2
2020-11-19,1
2020-11-20,2
2020-11-21,4
2020-11-22,2
2020-11-23,1
2020-11-24,2
2020-11-25,0
2020-11-26,1
2020-11-27,5
2020-11-28,2
2020-11-29,3
2020-11-30,4
2020-12-01,4
2020-12-02,6
2020-12-03,3
2020-12-04,0
2020-12-05,3
2020-12-06,4
2020-12-07,2
2020-12-08,1
2020-12-09,5
2020-12-10,3
2020-12-11,2
2020-12-12,3
2020-12-13,3
2020-12-14,4
2020-12-15,2
2020-12-16,8
2020-12-17,24
2020-12-18,24
2020-12-19,29
2020-12-20,21
2020-12-21,10
2020-12-22,11
2020-12-23,15
2020-12-24,10
2020-12-25,8
2020-12-26,10
2020-12-27,6
2020-12-28,7
2020-12-29,25
2020-12-30,6
2020-12-31,10
2021-01-01,14
2021-01-02,5
2021-01-03,6
2021-01-04,4
2021-01-05,3
2021-01-06,6
2021-01-07,3
2021-01-08,8
2021-01-09,4
2021-01-10,6
2021-01-11,7
2021-01-12,3
2021-01-13,0
2021-01-14,1
2021-01-15,7
2021-01-16,12
2021-01-17,0
2021-01-18,1
2021-01-19,1
2021-01-20,3
2021-01-21,0
2021-01-22,0
2021-01-23,1
2021-01-24,0
2021-01-25,3
2021-01-26,0
2021-01-27,3
2021-01-28,0
2021-01-29,2
2021-01-30,1
2021-01-31,3
2021-02-01,0
2021-02-02,0
2021-02-03,1
2021-02-04,0
2021-02-05,2
2021-02-06,0
2021-02-07,3
2021-02-08,3
2021-02-09,1
2021-02-10,1
2021-02-11,0
2021-02-12,0
2021-02-13,0
2021-02-14,0
2021-02-15,1
2021-02-16,1
2021-02-17,0
2021-02-18,0
2021-02-19,0
2021-02-20,1
2021-02-21,0
2021-02-22,3
2021-02-23,3
2021-02-24,3
2021-02-25,4
2021-02-26,3
2021-02-27,1
2021-02-28,2
2021-03-01,0
2021-03-02,4
2021-03-03,1
2021-03-04,9
2021-03-05,2
2021-03-06,1
2021-03-07,0
2021-03-08,2
2021-03-09,4
2021-03-10,3
2021-03-11,4
2021-03-12,0
2021-03-13,2
2021-03-14,1
2021-03-15,0
2021-03-16,3
2021-03-17,5
2021-03-18,0
2021-03-19,2
2021-03-20,1
2021-03-21,2
2021-03-22,0
2021-03-23,3
2021-03-24,1
2021-03-25,2
2021-03-26,0
2021-03-27,0
2021-03-28,2
2021-03-29,1
2021-03-30,4
2021-03-31,2
2021-04-01,0
2021-04-02,1
2021-04-03,1
2021-04-04,3
2021-04-05,4
2021-04-06,0
2021-04-07,0
2021-04-08,1
2021-04-09,1
2021-04-10,5
2021-04-11,2
2021-04-12,2
2021-04-13,2
2021-04-14,1
2021-04-15,1
2021-04-16,5
2021-04-17,4
2021-04-18,7
2021-04-19,4
2021-04-20,3
2021-04-21,6
2021-04-22,2
2021-04-23,0
2021-04-24,3
2021-04-25,3
2021-04-26,3
2021-04-27,0
2021-04-28,8
2021-04-29,1
2021-04-30,0
2021-05-01,1
2021-05-02,4
2021-05-03,7
2021-05-04,3
2021-05-05,8
2021-05-06,2
2021-05-07,2
2021-05-08,4
2021-05-09,3
2021-05-10,2
2021-05-11,2
2021-05-12,5
2021-05-13,2
2021-05-14,1
2021-05-15,2
2021-05-16,2
2021-05-17,3
2021-05-18,1
